registered at: ,2026-06-18 09:56:45.323676
0.3872,coefficients,[-0.         -0.          9.31422687 -1.35622463 -1.26918654]
0.3876,r_i,[-2.  -1.6]
0.3877,D,"[[ 0.   -0.4   0.   -0.    0.08]
 [ 0.4  -0.4   0.08 -0.16  0.08]
 [ 0.4   0.    0.08  0.    0.  ]
 [ 0.    0.4   0.    0.    0.08]
 [ 0.4   0.4   0.08  0.16  0.08]
 [-1.    0.    0.    0.    0.  ]]"
0.3879,W,[0.06217652 0.00386592 0.06217652 0.06217652 0.00386592 1.        ]
0.388,b,[ 0.08628173 -4.66044003 -4.90971662 -1.22696161 -6.53423204  0.        ]
0.3882,coefficients,"[2.97451993e-18 1.64155417e+00 6.15250998e+01 1.75171459e+00
 7.20607025e+00]"
0.3913,r_i,[ 2.  -1.6]
0.3914,D,"[[-0.4  -0.4   0.08  0.16  0.08]
 [ 0.   -0.4   0.   -0.    0.08]
 [-0.4   0.    0.08 -0.    0.  ]
 [-0.4   0.4   0.08 -0.16  0.08]
 [ 0.    0.4   0.    0.    0.08]
 [ 1.    0.    0.    0.    0.  ]]"
0.3917,W,[0.00386592 0.06217652 0.06217652 0.00386592 0.06217652 1.        ]
0.3918,b,[-0.84667307 -0.10153492 -0.96213409 -2.5379186  -1.20281722  0.        ]
0.3919,coefficients,"[ 9.36644938e-19  1.37660288e+00  1.21288413e+01 -1.84363509e+00
  8.20328349e+00]"
0.3924,r_i,[-2.  -1.2]
0.3925,D,"[[ 0.   -0.4   0.   -0.    0.08]
 [ 0.4  -0.4   0.08 -0.16  0.08]
 [ 0.4   0.    0.08  0.    0.  ]
 [ 0.    0.4   0.    0.    0.08]
 [ 0.4   0.4   0.08  0.16  0.08]
 [-1.    0.    0.    0.    0.  ]]"
0.3927,W,[0.06217652 0.00386592 0.06217652 0.06217652 0.00386592 1.        ]
0.3928,b,[ 1.22696161 -3.68275501 -5.30727042 -2.167855   -7.42148293  0.        ]
0.3929,coefficients,"[5.48515285e-17 4.24352076e+00 6.60453355e+01 1.07472284e+00
 5.73281126e+00]"
0.3961,r_i,[ 2.  -1.2]
